0 0.2653
1 0.8214
2 0.8877
3 0.9152
4 0.9332
5 0.9426
6 0.9498
7 0.9559
8 0.9597
9 0.9628
10 0.9656
11 0.9684
12 0.9715
13 0.9729
14 0.9751
15 0.9766
16 0.9783
17 0.9795
18 0.9804
19 0.9808
20 0.9812
21 0.9817
22 0.9821
23 0.9826
24 0.9825
25 0.9828
26 0.9833
27 0.9838
28 0.9837
29 0.9838
30 0.9839
31 0.984
32 0.9846
33 0.9846
34 0.9847
35 0.9851
36 0.985
37 0.9851
38 0.9852
39 0.9853
40 0.9856
41 0.986
42 0.9859
43 0.9859
44 0.9858
45 0.9863
46 0.9857
47 0.9857
48 0.9855
49 0.9859
50 0.986
51 0.9857
52 0.9856
53 0.9852
54 0.9846
55 0.9842
56 0.9844
57 0.9847
58 0.9848
59 0.9849
60 0.9854
61 0.986
62 0.9867
63 0.9871
64 0.9869
65 0.9869
66 0.9872
67 0.9868
68 0.987
69 0.9868
70 0.9859
71 0.9863
72 0.9869
73 0.9863
74 0.9861
75 0.9863
76 0.9864
77 0.9865
78 0.9868
79 0.9866
80 0.9866
81 0.9865
82 0.9865
83 0.9865
84 0.9864
85 0.9866
86 0.9868
87 0.9866
88 0.9868
89 0.9866
90 0.9866
91 0.9865
92 0.9865
93 0.9866
94 0.9866
95 0.9866
96 0.9865
97 0.9865
98 0.9866
99 0.9866
