0 0.0958
1 0.1346
2 0.6546
3 0.7988
4 0.8647
5 0.8944
6 0.9111
7 0.919
8 0.9243
9 0.9293
10 0.9344
11 0.9388
12 0.9425
13 0.9459
14 0.9478
15 0.9508
16 0.953
17 0.9543
18 0.9563
19 0.958
20 0.9599
21 0.9617
22 0.9633
23 0.9652
24 0.9661
25 0.9675
26 0.9682
27 0.9683
28 0.9684
29 0.9688
30 0.9698
31 0.9703
32 0.971
33 0.9715
34 0.9718
35 0.9721
36 0.9725
37 0.9729
38 0.9733
39 0.9734
40 0.9735
41 0.9734
42 0.9738
43 0.9738
44 0.9741
45 0.9743
46 0.9745
47 0.9748
48 0.9747
49 0.9743
50 0.9745
51 0.9749
52 0.9752
53 0.9755
54 0.9758
55 0.9761
56 0.9761
57 0.9759
58 0.9759
59 0.9756
60 0.9755
61 0.9756
62 0.9755
63 0.9753
64 0.9752
65 0.9749
66 0.975
67 0.9751
68 0.9751
69 0.9752
70 0.9751
71 0.9752
72 0.975
73 0.9745
74 0.9745
75 0.9749
76 0.9749
77 0.9749
78 0.975
79 0.9753
80 0.9753
81 0.9753
82 0.9751
83 0.9749
84 0.9749
85 0.9748
86 0.9746
87 0.9744
88 0.9744
89 0.9745
90 0.9745
91 0.9747
92 0.9749
93 0.975
94 0.9749
95 0.975
96 0.975
97 0.9749
98 0.9752
99 0.9754
