0 0.11
1 0.099
2 0.126
3 0.099
4 0.099
5 0.099
6 0.099
7 0.099
8 0.099
9 0.099
10 0.099
11 0.1
12 0.211
13 0.218
14 0.255
15 0.346
16 0.465
17 0.527
18 0.53
19 0.555
20 0.582
21 0.61
22 0.657
23 0.692
24 0.727
25 0.747
26 0.752
27 0.76
28 0.77
29 0.774
30 0.784
31 0.79
32 0.797
33 0.803
34 0.806
35 0.807
36 0.813
37 0.816
38 0.817
39 0.822
40 0.825
41 0.835
42 0.838
43 0.844
44 0.848
45 0.853
46 0.857
47 0.863
48 0.865
49 0.866
50 0.868
51 0.869
52 0.871
53 0.87
54 0.872
55 0.874
56 0.874
57 0.876
58 0.88
59 0.881
60 0.883
61 0.883
62 0.884
63 0.883
64 0.883
65 0.883
66 0.886
67 0.886
68 0.887
69 0.887
70 0.887
71 0.889
72 0.889
73 0.889
74 0.888
75 0.89
76 0.891
77 0.892
78 0.892
79 0.892
80 0.892
81 0.893
82 0.896
83 0.897
84 0.896
85 0.894
86 0.894
87 0.897
88 0.897
89 0.897
90 0.899
91 0.9
92 0.9
93 0.9
94 0.9
95 0.9
96 0.902
97 0.902
98 0.902
99 0.901
